ds,y
639,2604
640,6315
641,6378
642,5967
643,6242
644,5748
645,3506
646,2689
647,3841
648,5965
649,5542
650,5508
651,5956
652,3402
653,2810
654,6138
655,6448
656,6279
657,5764
658,6562
659,4239
660,3578
661,7051
662,7128
663,6867
664,7389
665,8658
666,6694
667,5640
668,8755
669,8380
670,7405
671,6564
672,6809
673,4382
674,3533
675,6081
676,5170
677,5724
678,5424
679,5189
680,4277
681,3346
682,6431
683,5765
684,6003
685,6735
686,6995
687,4368
688,3114
689,6767
690,6528
691,5670
692,2864
693,4258
694,3207
695,2844
696,5705
697,5473
698,6699
699,6929
700,6212
701,4369
702,3077
703,6205
704,6041
705,6053
706,7436
707,6350
708,4136
709,4141
710,7179
711,6581
712,5805
713,5809
714,5474
715,3911
716,4264
717,6830
718,5819
719,5162
720,4972
721,4256
722,3047
723,2291
724,3404
725,5601
726,6309
727,7028
728,4599
729,2577
730,2425
731,3734
732,7832
733,9839
734,7157
735,5959
736,3158
737,2994
738,6468
739,5972
740,5638
741,5630
742,5930
743,4475
744,4472
745,5814
746,6374
747,6486
748,6809
749,5954
750,4318
751,4076
752,6152
753,5691
754,5535
755,5421
756,5343
757,3509
758,3171
759,5848
760,5600
761,5451
762,5898
763,5351
764,3349
765,2952
766,5457
767,5569
768,6153
769,5353
770,4952
771,3433
772,3726
773,6110
774,5046
775,5210
776,5046
777,4844
778,2882
779,2832
780,3507
781,5565
782,5079
783,5043
784,4910
785,3436
786,3258
787,5252
788,5145
789,5156
790,5335
791,4856
792,2984
793,3001
794,6053
795,5962
796,5383
797,5165
798,5032
799,3300
800,2767
801,5299
802,5347
803,5690
804,5425
805,4799
806,3137
807,2854
808,5314
809,5220
810,5662
811,5250
812,4935
813,3024
814,3021
815,6185
816,6044
817,5197
818,5464
819,4744
820,3360
821,2991
822,5347
823,5323
824,4888
825,4704
826,4023
827,2889
828,2385
829,5362
830,4990
831,4938
832,4787
833,4469
834,2948
835,2846
836,5739
837,5219
838,5216
839,5073
840,4650
841,3009
842,2723
843,5869
844,5860
845,5541
846,5336
847,5080
848,3463
849,2499
850,5272
851,5329
852,5066
853,4896
854,5061
855,2688
856,2730
857,5297
858,5100
859,5377
860,4921
861,4801
862,2979
863,2744
864,5344
865,4762
866,5564
867,5008
868,5133
869,3177
870,2923
871,5668
872,5629
873,5760
874,5171
875,4941
876,2978
877,2892
878,3655
879,6448
880,6096
881,5846
882,5265
883,3267
884,2787
885,5552
886,5421
887,5347
888,5106
